regiao,cluster,PC1,PC2
Centro-Oeste,1,-11.519200978706449,-0.6772965659172274
Nordeste,2,14.782303399569583,-7.641802041410678
Norte,1,-5.504346496524275,-4.423446122389647
Sudeste,2,9.03875152077237,10.572628541556012
Sul,1,-6.797507445111248,2.169916188161542
